Scheduler,Num Tasks,Completion Rate,Avg JCT,Avg Wait,Avg Slowdown,Total GPU Time,Makespan
pollux-patient,50,100.0,4469.676353971407,104.03635397140687,5.650287231183829,383854.0,19980.0
pollux,50,100.0,4344.516353971407,250.7963539714068,7.066222894165843,411705.0,23040.0
rack-aware,50,100.0,4062.0563539714058,1629.436353971407,10.509911359221267,602676.0,11280.0
min-gpu-time,50,100.0,8616.636353971406,6277.036353971406,26.800328083745743,592908.0,16500.0
first-fit,50,100.0,4285.256353971406,1630.796353971407,11.251074808904894,612096.0,11580.0
pollux-patient,100,100.0,6361.437453910661,1200.5574539106597,14.242534139483729,733699.0,30060.0
pollux,100,100.0,6384.52745391066,1530.1174539106598,15.64066175651788,744686.0,25680.0
rack-aware,100,100.0,8724.637453910662,5079.16745391066,21.572335482660108,1348555.0,22740.0
min-gpu-time,100,100.0,13456.407453910659,10037.677453910663,34.20592692522755,1287964.0,27180.0
first-fit,100,100.0,10340.857453910661,6250.767453910661,28.686148203100657,1449905.0,24240.0
pollux-patient,200,100.0,9780.69285311131,3768.3578531113126,20.95435900316821,1300580.0,37440.0
pollux,200,100.0,10475.502853111315,5243.542853111315,28.750847968531986,1381465.0,34680.0
rack-aware,200,100.0,17180.697853111316,13012.002853111313,40.89269967841029,2640330.0,42840.0
min-gpu-time,200,100.0,20829.867853111315,17082.66785311132,51.865356862175375,2587448.0,48060.0
first-fit,200,100.0,17233.64285311132,13148.017853111309,47.962719564998416,2627086.0,43800.0
pollux-patient,300,100.0,15092.277902619724,7957.054569286391,35.34049345880059,2018021.0,49380.0
pollux,300,100.0,16099.821235953063,8284.801235953057,39.91753731016988,2093147.0,48900.0
rack-aware,300,100.0,24086.29790261973,19490.337902619725,55.48500035038228,3998797.0,64920.0
min-gpu-time,300,100.0,28959.804569286393,24495.921235953054,71.70336252163673,3933925.0,68640.0
first-fit,300,100.0,25494.744569286388,20832.76123595306,63.52740346448866,3996851.0,65100.0
pollux-patient,400,100.0,20180.719841547245,11005.939841547246,45.59849349732638,2637486.0,58140.0
pollux,400,100.0,20485.999841547236,11860.28984154725,46.07668956063217,2822796.0,56100.0
rack-aware,400,100.0,30383.77984154725,25655.78984154726,64.51348363981961,5197560.0,84180.0
min-gpu-time,400,100.0,34969.61734154722,30557.167341547236,80.9232372025385,5131586.0,87540.0
first-fit,400,100.0,33063.09234154723,28299.997341547245,78.2603641315637,5314307.0,85740.0
pollux-patient,500,100.0,22426.421070007404,12485.501070007416,45.36159605185376,3075679.0,78060.0
pollux,500,100.0,24128.737070007388,15439.383070007405,54.20071120337798,3256803.0,64320.0
rack-aware,500,100.0,36382.02507000741,31648.307070007406,81.32337423070884,6264223.0,102420.0
min-gpu-time,500,100.0,41191.44507000741,36706.967070007406,94.4455750128209,6187061.0,103140.0
first-fit,500,100.0,38458.10507000743,33713.00107000743,93.98550624255624,6251141.0,100260.0
pollux-patient,600,100.0,24969.054156003054,15924.255822669737,49.42553402355243,3606017.0,70980.0
pollux,600,100.0,28715.58915600306,19283.432489336392,67.80856158759259,3920826.0,74640.0
rack-aware,600,100.0,42425.06082266973,37705.55415600307,105.66516854107404,7448210.0,120180.0
min-gpu-time,600,100.0,45472.77248933641,41034.287489336406,112.59226377312508,7243420.0,119820.0
first-fit,600,100.0,42879.81415600306,38291.47082266971,109.70340103402596,7345396.0,117540.0
pollux-patient,700,100.0,26000.63848423198,16910.592769946266,52.07842878915836,4011563.0,75300.0
pollux,700,100.0,32548.764198517667,23019.321341374827,76.8572345413213,4646898.0,85320.0
rack-aware,700,100.0,46526.07705566053,41893.018484231965,111.83810768361299,8429874.0,136860.0
min-gpu-time,700,100.0,51646.52705566051,47180.157055660544,129.58867083779947,8415144.0,138780.0
first-fit,700,100.0,47536.87848423195,42925.96134137483,116.08657243102016,8446740.0,133800.0
pollux-patient,800,100.0,30439.491538437404,21133.51028843741,65.93227220966227,4530449.0,92640.0
pollux,800,100.0,34368.957788437394,23713.51653843742,80.17102428561788,4917530.0,89940.0
rack-aware,800,100.0,51272.1702884374,46693.72653843741,124.57715749559544,9373990.0,152220.0
min-gpu-time,800,100.0,55815.17278843742,51459.9352884374,143.43591899288253,9288312.0,152580.0
first-fit,800,100.0,53813.83403843745,49212.47403843741,136.13767052892373,9461590.0,149700.0
pollux-patient,900,100.0,32669.94318109243,23272.790958870213,79.0306601043466,4900386.0,95100.0
pollux,900,100.0,38585.662069981314,27818.367625536896,96.17566517208768,5461771.0,98280.0
rack-aware,900,100.0,58124.08762553685,53460.315403314664,157.15883155601895,10573666.0,170340.0
min-gpu-time,900,100.0,63920.5220699813,59465.278736647946,171.3143537814084,10594697.0,173040.0
first-fit,900,100.0,60615.995403314635,55993.32984775906,161.39184771768345,10666071.0,169800.0
pollux-patient,1000,100.0,37069.062198716805,27184.93319871682,92.66167123932799,5361070.0,96900.0
pollux,1000,100.0,41788.11319871681,31090.4671987168,104.4012664973681,6112591.0,107880.0
rack-aware,1000,100.0,64012.36019871677,59330.31719871677,173.08643414927502,11705628.0,188280.0
min-gpu-time,1000,100.0,73034.58819871678,68464.93619871676,200.3033264223297,12000617.0,196080.0
first-fit,1000,100.0,68489.53219871676,63833.14719871677,185.96600561681,12005908.0,191580.0
