Interference Level,Scheduler,Total GPU Time,Normalized Time
Low,first-fit,803341.0,1.0
Low,best-fit,790741.0,0.9843155023831722
Low,rack-aware,778728.0,0.969361703187065
Low,min-gpu-time,784062.0,0.9760014738448555
Low,pollux,522912.0,0.6509215887151284
Low,pollux-patient,485785.0,0.6047058472056076
Medium,first-fit,1342273.0,1.0
Medium,best-fit,1320022.0,0.9834228953424526
Medium,rack-aware,1278069.0,0.9521677035893592
Medium,min-gpu-time,1288075.0,0.9596222229010045
Medium,pollux,654237.0,0.4874097892157557
Medium,pollux-patient,522729.0,0.3894356811170306
High,first-fit,2119779.0,1.0
High,best-fit,2208533.0,1.0418694590332294
High,rack-aware,2108990.0,0.9949103184813134
High,min-gpu-time,2071808.0,0.9773698107208346
High,pollux,905294.0,0.42706999173027
High,pollux-patient,642334.0,0.30301932418426636
