task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-70,completed,4,56.46,207.77,208.00,573.00,250.38,365.00,365.23,0.23,"rack-4-4,rack-4-5,rack-4-6,rack-4-7"
task-79,completed,5,26.93,656.37,657.00,797.00,84.87,140.00,140.63,0.63,"rack-7-5,rack-7-6,rack-7-1,rack-7-2,rack-7-3"
task-32,completed,1,36.74,201.36,202.00,1497.00,884.60,1295.00,1295.64,0.64,rack-3-6
task-67,completed,3,53.00,283.94,284.00,1522.00,671.45,1238.00,1238.06,0.06,"rack-7-4,rack-7-5,rack-7-6"
task-82,completed,5,55.69,292.50,573.00,1645.00,433.76,1072.00,1352.50,280.50,"rack-4-4,rack-4-5,rack-4-6,rack-4-7,rack-7-7"
task-13,completed,6,23.47,480.56,481.00,1725.00,385.02,1244.00,1244.44,0.44,"rack-4-4,rack-4-5,rack-4-6,rack-4-7,rack-3-5,rack-5-0"
task-48,completed,4,16.42,807.50,808.00,1744.00,350.47,936.00,936.50,0.50,"rack-7-4,rack-7-5,rack-7-6,rack-7-1"
task-40,completed,8,5.71,997.06,1725.00,2226.00,47.65,501.00,1228.94,727.94,"rack-7-5,rack-7-6,rack-4-4,rack-4-5,rack-3-5,rack-5-0,rack-4-6,rack-4-7"
task-2,completed,14,3.84,418.79,419.00,2286.00,177.71,1867.00,1867.21,0.21,"rack-0-6,rack-2-4,rack-2-5,rack-2-6,rack-3-6,rack-1-4,rack-1-5,rack-0-7,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-5-6,rack-5-7"
task-80,completed,2,54.14,449.15,1645.00,2395.00,386.04,750.00,1945.85,1195.85,"rack-4-6,rack-4-7"
task-7,completed,3,24.04,619.12,620.00,2729.00,652.57,2109.00,2109.88,0.88,"rack-7-7,rack-5-1,rack-5-2"
task-1,completed,4,41.25,156.49,157.00,2804.00,1607.00,2647.00,2647.51,0.51,"rack-1-0,rack-1-1,rack-1-2,rack-1-3"
task-5,completed,1,46.01,760.71,1522.00,2990.00,295.79,1468.00,2229.29,761.29,rack-7-4
task-59,completed,3,36.51,423.37,424.00,2998.00,1218.63,2574.00,2574.63,0.63,"rack-6-4,rack-6-5,rack-6-6"
task-91,completed,1,8.69,321.42,322.00,3010.00,1747.02,2688.00,2688.58,0.58,rack-1-6
task-26,completed,1,41.46,1592.62,2804.00,3057.00,215.05,253.00,1464.38,1211.38,rack-1-3
task-42,completed,3,54.51,127.54,128.00,3118.00,1548.75,2990.00,2990.46,0.46,"rack-2-4,rack-2-5,rack-2-6"
task-3,completed,1,34.55,1262.38,1263.00,3196.00,1291.68,1933.00,1933.62,0.62,rack-7-0
task-57,completed,2,45.38,1051.52,3118.00,3304.00,112.33,186.00,2252.48,2066.48,"rack-2-4,rack-2-5"
task-51,completed,2,39.82,26.56,27.00,3345.00,977.65,3318.00,3318.44,0.44,"rack-0-0,rack-0-1"
task-14,completed,3,37.33,1312.43,2804.00,3426.00,316.34,622.00,2113.57,1491.57,"rack-1-0,rack-1-1,rack-1-2"
task-75,completed,1,21.35,1763.64,2226.00,3447.00,244.17,1221.00,1683.36,462.36,rack-7-5
task-74,completed,2,7.35,498.02,499.00,3669.00,768.20,3170.00,3170.98,0.98,"rack-1-7,rack-2-0"
task-0,completed,4,3.45,401.78,402.00,3919.00,502.30,3517.00,3517.22,0.22,"rack-0-2,rack-0-3,rack-0-4,rack-0-5"
task-61,completed,2,37.92,1050.61,2395.00,3931.00,760.41,1536.00,2880.39,1344.39,"rack-4-6,rack-4-7"
task-65,completed,15,38.03,179.97,180.00,4114.00,1017.76,3934.00,3934.03,0.03,"rack-1-4,rack-1-5,rack-2-7,rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4,rack-3-5,rack-3-6,rack-3-7,rack-4-0,rack-4-1,rack-4-2,rack-4-3"
task-89,completed,3,58.08,1154.67,3304.00,4144.00,509.63,840.00,2989.33,2149.33,"rack-2-6,rack-2-4,rack-2-5"
task-88,completed,8,3.37,590.87,591.00,4326.00,355.70,3735.00,3735.13,0.13,"rack-0-7,rack-6-4,rack-6-5,rack-6-6,rack-2-1,rack-2-2,rack-5-6,rack-5-7"
task-24,completed,6,47.94,114.35,115.00,4617.00,765.67,4502.00,4502.65,0.65,"rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3"
task-95,completed,7,23.12,1195.63,4144.00,4855.00,135.25,711.00,3659.37,2948.37,"rack-4-2,rack-4-3,rack-3-5,rack-1-4,rack-1-5,rack-2-4,rack-2-5"
task-86,completed,2,51.80,1469.86,4617.00,5290.00,408.16,673.00,3820.14,3147.14,"rack-1-6,rack-1-7"
task-52,completed,3,55.73,299.36,1645.00,5537.00,1529.17,3892.00,5237.64,1345.64,"rack-7-7,rack-4-4,rack-4-5"
task-71,completed,4,45.06,507.16,4617.00,5626.00,288.25,1009.00,5118.84,4109.84,"rack-2-3,rack-2-1,rack-2-2,rack-2-6"
task-81,completed,4,22.51,1574.48,2729.00,6000.00,1012.19,3271.00,4425.52,1154.52,"rack-4-6,rack-4-7,rack-7-7,rack-5-1"
task-94,completed,7,16.77,3.04,4.00,6100.00,1278.73,6096.00,6096.96,0.96,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6"
task-54,completed,6,23.98,477.37,478.00,6209.00,1773.70,5731.00,5731.63,0.63,"rack-2-7,rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4"
task-41,completed,8,2.42,105.97,106.00,6522.00,1277.04,6416.00,6416.03,0.03,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7"
task-63,completed,8,17.41,1161.90,4114.00,6679.00,244.27,2565.00,5517.10,2952.10,"rack-5-2,rack-1-3,rack-7-5,rack-4-2,rack-4-3,rack-3-5,rack-1-4,rack-1-5"
task-66,completed,7,31.34,628.22,5537.00,6834.00,247.10,1297.00,6205.78,4908.78,"rack-2-4,rack-2-5,rack-2-0,rack-7-7,rack-1-6,rack-1-7,rack-4-4"
task-12,completed,4,24.05,1501.40,3057.00,7040.00,821.60,3983.00,5538.60,1555.60,"rack-6-4,rack-6-5,rack-6-6,rack-1-3"
task-20,completed,15,10.29,1340.98,4855.00,7585.00,259.94,2730.00,6244.02,3514.02,"rack-2-1,rack-2-2,rack-7-1,rack-6-4,rack-6-5,rack-6-6,rack-2-6,rack-4-2,rack-4-3,rack-3-5,rack-1-4,rack-1-5,rack-2-4,rack-2-5,rack-2-0"
task-23,completed,3,45.84,275.11,276.00,7680.00,1551.37,7404.00,7404.89,0.89,"rack-7-1,rack-7-2,rack-7-3"
task-69,completed,1,40.74,1677.16,2990.00,8004.00,1002.74,5014.00,6326.84,1312.84,rack-7-4
task-6,completed,9,11.02,605.87,606.00,8236.00,1723.41,7630.00,7630.13,0.13,"rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-3-7,rack-4-0,rack-4-1,rack-4-2,rack-4-3"
task-34,completed,2,15.97,141.76,142.00,8372.00,1025.57,8230.00,8230.24,0.24,"rack-2-3,rack-0-7"
task-10,completed,12,35.49,82.48,83.00,8560.00,1271.18,8477.00,8477.52,0.52,"rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5"
task-25,completed,13,36.56,452.55,4114.00,8565.00,847.81,4451.00,8112.45,3661.45,"rack-2-7,rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4,rack-4-6,rack-4-7,rack-3-6,rack-0-1,rack-3-7,rack-4-0,rack-4-1"
task-9,completed,13,6.57,1131.55,2998.00,8614.00,534.79,5616.00,7482.45,1866.45,"rack-5-6,rack-5-7,rack-5-0,rack-1-0,rack-1-1,rack-1-2,rack-3-6,rack-7-6,rack-7-1,rack-5-2,rack-6-4,rack-6-5,rack-6-6"
