task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-70,completed,4,56.46,207.77,208.00,779.00,250.38,571.00,571.23,0.23,"rack-4-6,rack-4-7,rack-5-0,rack-5-1"
task-82,completed,5,55.69,292.50,293.00,950.00,433.76,657.00,657.50,0.50,"rack-7-3,rack-7-4,rack-7-5,rack-7-6,rack-7-7"
task-5,completed,1,46.01,760.71,779.00,1170.00,295.79,391.00,409.29,18.29,rack-5-1
task-67,completed,3,53.00,283.94,284.00,1356.00,671.45,1072.00,1072.06,0.06,"rack-7-0,rack-7-1,rack-7-2"
task-32,completed,1,36.74,201.36,202.00,1444.00,884.60,1242.00,1242.64,0.64,rack-3-3
task-80,completed,2,54.14,449.15,950.00,1602.00,386.04,652.00,1152.85,500.85,"rack-7-6,rack-7-7"
task-48,completed,4,16.42,807.50,951.00,1706.00,350.47,755.00,898.50,143.50,"rack-7-3,rack-7-4,rack-7-5,rack-7-6"
task-13,completed,6,23.47,480.56,481.00,1867.00,385.02,1386.00,1386.44,0.44,"rack-4-6,rack-4-7,rack-5-0,rack-5-1,rack-7-1,rack-7-2"
task-7,completed,3,24.04,619.12,620.00,1875.00,652.57,1255.00,1255.88,0.88,"rack-7-3,rack-7-4,rack-7-5"
task-2,completed,14,3.84,418.79,419.00,2286.00,177.71,1867.00,1867.21,0.21,"rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4"
task-40,completed,8,5.71,997.06,1868.00,2369.00,47.65,501.00,1371.94,870.94,"rack-4-6,rack-4-7,rack-5-0,rack-5-1,rack-7-1,rack-7-2,rack-7-6,rack-7-7"
task-75,completed,1,21.35,1763.64,1764.00,2625.00,244.17,861.00,861.36,0.36,rack-7-2
task-91,completed,1,8.69,321.42,322.00,3010.00,1747.02,2688.00,2688.58,0.58,rack-1-6
task-51,completed,2,39.82,26.56,27.00,3345.00,977.65,3318.00,3318.44,0.44,"rack-0-0,rack-0-1"
task-23,completed,3,45.84,275.11,276.00,3352.00,1551.37,3076.00,3076.89,0.89,"rack-6-5,rack-6-6,rack-6-7"
task-59,completed,3,36.51,423.37,950.00,3399.00,1218.63,2449.00,2975.63,526.63,"rack-7-3,rack-7-4,rack-7-5"
task-57,completed,2,45.38,1051.52,3399.00,3641.00,112.33,242.00,2589.48,2347.48,"rack-7-3,rack-7-4"
task-79,completed,5,26.93,656.37,3352.00,3798.00,84.87,446.00,3141.63,2695.63,"rack-0-0,rack-0-1,rack-6-5,rack-6-6,rack-6-7"
task-0,completed,4,3.45,401.78,402.00,3919.00,502.30,3517.00,3517.22,0.22,"rack-0-2,rack-0-3,rack-0-4,rack-0-5"
task-1,completed,4,41.25,156.49,157.00,4124.00,1607.00,3967.00,3967.51,0.51,"rack-2-7,rack-3-0,rack-3-1,rack-3-2"
task-88,completed,8,3.37,590.87,591.00,4326.00,355.70,3735.00,3735.13,0.13,"rack-1-0,rack-1-7,rack-2-0,rack-2-1,rack-2-4,rack-3-3,rack-3-4,rack-3-5"
task-61,completed,2,37.92,1050.61,1602.00,4349.00,760.41,2747.00,3298.39,551.39,"rack-7-6,rack-7-7"
task-86,completed,2,51.80,1469.86,3641.00,4521.00,408.16,880.00,3051.14,2171.14,"rack-7-3,rack-7-4"
task-39,completed,12,27.41,217.81,218.00,4592.00,936.46,4374.00,4374.19,0.19,"rack-4-5,rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4"
task-52,completed,3,55.73,299.36,779.00,4675.00,1529.17,3896.00,4375.64,479.64,"rack-4-6,rack-4-7,rack-5-0"
task-45,completed,4,7.62,762.44,763.00,4867.00,781.58,4104.00,4104.56,0.56,"rack-4-4,rack-4-5,rack-5-2,rack-5-3"
task-74,completed,2,7.35,498.02,499.00,4975.00,768.20,4476.00,4476.98,0.98,"rack-1-7,rack-2-0"
task-26,completed,1,41.46,1592.62,4521.00,5015.00,215.05,494.00,3422.38,2928.38,rack-7-3
task-14,completed,3,37.33,1312.43,3798.00,5459.00,316.34,1661.00,4146.57,2485.57,"rack-0-0,rack-0-1,rack-6-5"
task-24,completed,6,47.94,114.35,115.00,5653.00,765.67,5538.00,5538.65,0.65,"rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3"
task-89,completed,3,58.08,1154.67,4675.00,5935.00,509.63,1260.00,4780.33,3520.33,"rack-4-6,rack-4-7,rack-5-0"
task-94,completed,7,16.77,3.04,4.00,6100.00,1278.73,6096.00,6096.96,0.96,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6"
task-65,completed,15,38.03,179.97,180.00,6281.00,1017.76,6101.00,6101.03,0.03,"rack-2-7,rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4,rack-3-5,rack-3-6,rack-3-7,rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-4-4,rack-4-5"
task-41,completed,8,2.42,105.97,106.00,6319.00,1277.04,6213.00,6213.03,0.03,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7"
task-34,completed,2,15.97,141.76,142.00,6406.00,1025.57,6264.00,6264.24,0.24,"rack-0-7,rack-1-0"
task-42,completed,3,54.51,127.54,128.00,6761.00,1548.75,6633.00,6633.46,0.46,"rack-2-4,rack-2-5,rack-2-6"
task-69,completed,1,40.74,1677.16,4521.00,6984.00,1002.74,2463.00,5306.84,2843.84,rack-7-4
task-96,completed,11,38.14,224.33,225.00,7086.00,1197.46,6861.00,6861.67,0.67,"rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4"
task-3,completed,1,34.55,1262.38,1263.00,7117.00,1291.68,5854.00,5854.62,0.62,rack-5-1
task-95,completed,7,23.12,1195.63,6406.00,7146.00,135.25,740.00,5950.37,5210.37,"rack-0-7,rack-1-0,rack-4-4,rack-4-5,rack-4-6,rack-4-7,rack-5-0"
task-71,completed,4,45.06,507.16,5653.00,7167.00,288.25,1514.00,6659.84,5145.84,"rack-1-6,rack-1-7,rack-2-0,rack-2-1"
task-63,completed,8,17.41,1161.90,5935.00,7288.00,244.27,1353.00,6126.10,4773.10,"rack-1-7,rack-2-0,rack-2-2,rack-2-3,rack-4-6,rack-4-7,rack-5-0,rack-6-5"
task-20,completed,15,10.29,1340.98,4867.00,7597.00,259.94,2730.00,6256.02,3526.02,"rack-1-6,rack-4-4,rack-4-5,rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-7-6"
task-9,completed,13,6.57,1131.55,2286.00,7902.00,534.79,5616.00,6770.45,1154.45,"rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-2-1,rack-2-4,rack-5-1,rack-7-1,rack-7-3,rack-7-4,rack-7-5,rack-7-6"
task-10,completed,12,35.49,82.48,83.00,8474.00,1271.18,8391.00,8391.52,0.52,"rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5"
task-81,completed,4,22.51,1574.48,3399.00,8714.00,1012.19,5315.00,7139.52,1824.52,"rack-6-6,rack-6-7,rack-7-2,rack-7-5"
