task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-2,completed,14,3.84,418.79,419.00,675.00,177.71,256.00,256.21,0.21,"rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1"
task-0,completed,4,3.45,401.78,402.00,885.00,502.30,483.00,483.22,0.22,"rack-0-4,rack-0-5,rack-0-6,rack-0-7"
task-13,completed,6,23.47,480.56,481.00,1036.00,385.02,555.00,555.44,0.44,"rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1"
task-5,completed,1,46.01,760.71,761.00,1057.00,295.79,296.00,296.29,0.29,rack-2-5
task-7,completed,3,24.04,619.12,620.00,1247.00,652.57,627.00,627.88,0.88,"rack-1-2,rack-1-3,rack-1-4"
task-1,completed,4,41.25,156.49,157.00,1893.00,1607.00,1736.00,1736.51,0.51,"rack-0-0,rack-0-1,rack-0-2,rack-0-3"
task-9,completed,13,6.57,1131.55,1132.00,1903.00,534.79,771.00,771.45,0.45,"rack-1-2,rack-1-3,rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-6,rack-2-7,rack-3-0"
task-10,completed,12,35.49,82.48,83.00,1914.00,1271.18,1831.00,1831.52,0.52,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3"
task-14,completed,3,37.33,1312.43,1894.00,2236.00,316.34,342.00,923.57,581.57,"rack-0-0,rack-0-1,rack-0-2"
task-3,completed,1,34.55,1262.38,1263.00,2297.00,1291.68,1034.00,1034.62,0.62,rack-1-4
task-12,completed,4,24.05,1501.40,1502.00,2390.00,821.60,888.00,888.60,0.60,"rack-3-2,rack-3-3,rack-3-4,rack-3-5"
task-15,completed,6,28.81,1665.70,1666.00,2465.00,493.21,799.00,799.30,0.30,"rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-4"
task-17,completed,8,49.66,722.10,723.00,2813.00,1451.03,2090.00,2090.90,0.90,"rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4"
task-8,completed,9,48.81,965.21,966.00,2862.00,1316.22,1896.00,1896.79,0.79,"rack-2-6,rack-2-7,rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4,rack-3-5,rack-3-6"
task-4,completed,14,14.79,1456.97,1457.00,2991.00,1064.79,1534.00,1534.03,0.03,"rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-6,rack-2-7,rack-3-0,rack-1-2,rack-1-3,rack-3-1"
task-6,completed,9,11.02,605.87,606.00,3088.00,1723.41,2482.00,2482.13,0.13,"rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4"
task-19,completed,11,14.33,1592.43,1904.00,3368.00,903.62,1464.00,1775.57,311.57,"rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-6,rack-2-7,rack-3-0"
task-18,completed,3,14.24,1577.46,1578.00,4329.00,1697.81,2751.00,2751.54,0.54,"rack-3-1,rack-3-6,rack-0-4"
task-16,completed,8,41.71,1396.80,1915.00,4649.00,1518.70,2734.00,3252.20,518.20,"rack-0-0,rack-0-1,rack-0-2,rack-1-2,rack-1-3,rack-0-4,rack-0-3,rack-2-5"
task-11,completed,8,46.84,1539.57,2814.00,6007.00,1773.55,3193.00,4467.43,1274.43,"rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4"
