task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-70,completed,4,56.46,207.77,208.00,573.00,250.38,365.00,365.23,0.23,"rack-4-0,rack-4-1,rack-4-2,rack-4-3"
task-82,completed,5,55.69,292.50,293.00,975.00,433.76,682.00,682.50,0.50,"rack-6-3,rack-6-4,rack-6-5,rack-6-6,rack-6-7"
task-80,completed,2,54.14,449.15,450.00,1048.00,386.04,598.00,598.85,0.85,"rack-7-3,rack-7-4"
task-13,completed,6,23.47,480.56,481.00,1116.00,385.02,635.00,635.44,0.44,"rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-4-4,rack-4-5"
task-40,completed,8,5.71,997.06,998.00,1182.00,47.65,184.00,184.94,0.94,"rack-7-0,rack-7-1,rack-7-2,rack-7-3,rack-7-4"
task-32,completed,1,36.74,201.36,202.00,1243.00,884.60,1041.00,1041.64,0.64,rack-2-3
task-79,completed,5,26.93,656.37,657.00,1310.00,84.87,653.00,653.63,0.63,rack-0-7
task-67,completed,3,53.00,283.94,284.00,1356.00,671.45,1072.00,1072.06,0.06,"rack-6-0,rack-6-1,rack-6-2"
task-2,completed,14,3.84,418.79,419.00,1508.00,177.71,1089.00,1089.21,0.21,"rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-6,rack-1-7"
task-7,completed,3,24.04,619.12,620.00,1695.00,652.57,1075.00,1075.88,0.88,"rack-2-0,rack-2-1,rack-2-2"
task-5,completed,1,46.01,760.71,1356.00,1704.00,295.79,348.00,943.29,595.29,rack-6-0
task-88,completed,8,3.37,590.87,591.00,1827.00,355.70,1236.00,1236.13,0.13,"rack-3-0,rack-3-1,rack-3-2,rack-3-3,rack-3-4,rack-3-5,rack-3-6,rack-3-7"
task-71,completed,4,45.06,507.16,508.00,2045.00,288.25,1537.00,1537.84,0.84,rack-2-7
task-66,completed,7,31.34,628.22,629.00,2054.00,247.10,1425.00,1425.78,0.78,"rack-4-6,rack-4-7"
task-63,completed,8,17.41,1161.90,1162.00,2215.00,244.27,1053.00,1053.10,0.10,"rack-4-0,rack-4-1,rack-4-2,rack-4-3"
task-59,completed,3,36.51,423.37,424.00,2432.00,1218.63,2008.00,2008.63,0.63,"rack-2-4,rack-2-5,rack-2-6"
task-42,completed,3,54.51,127.54,128.00,2593.00,1548.75,2465.00,2465.46,0.46,"rack-2-0,rack-2-1,rack-2-2"
task-95,completed,7,23.12,1195.63,1310.00,2767.00,135.25,1457.00,1571.37,114.37,rack-0-7
task-1,completed,4,41.25,156.49,157.00,2796.00,1607.00,2639.00,2639.51,0.51,"rack-2-3,rack-2-4,rack-2-5,rack-2-6"
task-23,completed,3,45.84,275.11,276.00,2796.00,1551.37,2520.00,2520.89,0.89,"rack-4-4,rack-4-5,rack-4-6"
task-48,completed,4,16.42,807.50,808.00,2968.00,350.47,2160.00,2160.50,0.50,"rack-6-6,rack-6-7"
task-57,completed,2,45.38,1051.52,2796.00,3061.00,112.33,265.00,2009.48,1744.48,rack-2-3
task-52,completed,3,55.73,299.36,300.00,3199.00,1529.17,2899.00,2899.64,0.64,"rack-7-0,rack-7-1,rack-7-2"
task-45,completed,4,7.62,762.44,763.00,3499.00,781.58,2736.00,2736.56,0.56,"rack-5-0,rack-5-1,rack-5-2,rack-5-3"
task-61,completed,2,37.92,1050.61,2432.00,3685.00,760.41,1253.00,2634.39,1381.39,"rack-2-4,rack-2-5"
task-77,completed,1,8.49,1243.84,1244.00,3862.00,1701.64,2618.00,2618.16,0.16,rack-7-4
task-36,completed,5,9.45,989.65,990.00,3914.00,860.76,2924.00,2924.35,0.35,"rack-6-3,rack-6-4,rack-6-5,rack-6-6,rack-6-7"
task-0,completed,4,3.45,401.78,402.00,3919.00,502.30,3517.00,3517.22,0.22,"rack-0-0,rack-0-1,rack-0-2,rack-0-3"
task-9,completed,13,6.57,1131.55,1132.00,3940.00,534.79,2808.00,2808.45,0.45,"rack-0-5,rack-0-6,rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-6,rack-6-7,rack-7-3"
task-54,completed,6,23.98,477.37,478.00,4141.00,1773.70,3663.00,3663.63,0.63,"rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5"
task-39,completed,12,27.41,217.81,218.00,4340.00,936.46,4122.00,4122.19,0.19,"rack-5-0,rack-5-1,rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-5-6,rack-5-7"
