task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-5,completed,1,46.01,760.71,761.00,1069.00,295.79,308.00,308.29,0.29,rack-2-3
task-79,completed,5,26.93,656.37,657.00,1157.00,84.87,500.00,500.63,0.63,rack-2-0
task-57,completed,2,45.38,1051.52,1052.00,1280.00,112.33,228.00,228.48,0.48,rack-3-3
task-70,completed,4,56.46,207.77,208.00,1339.00,250.38,1131.00,1131.23,0.23,rack-0-6
task-80,completed,2,54.14,449.15,450.00,1346.00,386.04,896.00,896.85,0.85,rack-1-5
task-32,completed,1,36.74,201.36,202.00,1500.00,884.60,1298.00,1298.64,0.64,rack-0-5
task-40,completed,8,5.71,997.06,998.00,1585.00,47.65,587.00,587.94,0.94,rack-1-4
task-83,completed,6,53.12,1325.82,1326.00,1653.00,54.37,327.00,327.18,0.18,rack-4-3
task-26,completed,1,41.46,1592.62,1593.00,1834.00,215.05,241.00,241.38,0.38,rack-4-6
task-71,completed,4,45.06,507.16,508.00,1851.00,288.25,1343.00,1343.84,0.84,rack-1-6
task-75,completed,1,21.35,1763.64,1764.00,2052.00,244.17,288.00,288.36,0.36,rack-3-6
task-86,completed,2,51.80,1469.86,1470.00,2287.00,408.16,817.00,817.14,0.14,rack-4-4
task-14,completed,3,37.33,1312.43,1313.00,2430.00,316.34,1117.00,1117.57,0.57,rack-3-3
task-95,completed,7,23.12,1195.63,1196.00,2577.00,135.25,1381.00,1381.37,0.37,rack-2-6
task-66,completed,7,31.34,628.22,629.00,2664.00,247.10,2035.00,2035.78,0.78,rack-1-7
task-3,completed,1,34.55,1262.38,1263.00,2725.00,1291.68,1462.00,1462.62,0.62,rack-3-3
task-89,completed,3,58.08,1154.67,1155.00,2728.00,509.63,1573.00,1573.33,0.33,rack-3-6
task-46,completed,15,52.10,1176.22,1177.00,2782.00,106.97,1605.00,1605.78,0.78,rack-3-7
task-82,completed,5,55.69,292.50,293.00,2787.00,433.76,2494.00,2494.50,0.50,rack-1-2
task-61,completed,2,37.92,1050.61,1051.00,2818.00,760.41,1767.00,1767.39,0.39,rack-3-2
task-74,completed,2,7.35,498.02,499.00,2835.00,768.20,2336.00,2336.98,0.98,rack-1-0
task-69,completed,1,40.74,1677.16,1678.00,2848.00,1002.74,1170.00,1170.84,0.84,rack-4-3
task-48,completed,4,16.42,807.50,808.00,2850.00,350.47,2042.00,2042.50,0.50,rack-1-5
task-7,completed,3,24.04,619.12,620.00,2903.00,652.57,2283.00,2283.88,0.88,rack-1-2
task-91,completed,1,8.69,321.42,322.00,3010.00,1747.02,2688.00,2688.58,0.58,rack-0-2
task-51,completed,2,39.82,26.56,27.00,3011.00,977.65,2984.00,2984.44,0.44,rack-0-0
task-67,completed,3,53.00,283.94,284.00,3205.00,671.45,2921.00,2921.06,0.06,rack-1-1
task-34,completed,2,15.97,141.76,142.00,3298.00,1025.57,3156.00,3156.24,0.24,rack-0-1
task-0,completed,4,3.45,401.78,402.00,3493.00,502.30,3091.00,3091.22,0.22,rack-0-5
task-13,completed,6,23.47,480.56,481.00,3685.00,385.02,3204.00,3204.44,0.44,rack-0-6
task-77,completed,1,8.49,1243.84,1244.00,3862.00,1701.64,2618.00,2618.16,0.16,rack-2-0
task-63,completed,8,17.41,1161.90,1162.00,4078.00,244.27,2916.00,2916.10,0.10,rack-2-0
task-30,completed,4,52.49,1150.11,1151.00,4216.00,544.22,3065.00,3065.89,0.89,rack-3-5
task-2,completed,14,3.84,418.79,419.00,4247.00,177.71,3828.00,3828.21,0.21,rack-0-7
task-88,completed,8,3.37,590.87,591.00,4467.00,355.70,3876.00,3876.13,0.13,rack-1-0
