task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-70,completed,4,56.46,207.77,208.00,573.00,250.38,365.00,365.23,0.23,"rack-5-0,rack-5-1,rack-5-2,rack-5-3"
task-80,completed,2,54.14,449.15,573.00,1209.00,386.04,636.00,759.85,123.85,"rack-5-0,rack-5-1"
task-13,completed,6,23.47,480.56,481.00,1311.00,385.02,830.00,830.44,0.44,"rack-5-0,rack-5-1,rack-5-2,rack-5-3,rack-5-4,rack-5-5"
task-67,completed,3,53.00,283.94,284.00,1356.00,671.45,1072.00,1072.06,0.06,"rack-7-4,rack-7-5,rack-7-6"
task-32,completed,1,36.74,201.36,202.00,1497.00,884.60,1295.00,1295.64,0.64,rack-1-7
task-40,completed,8,5.71,997.06,998.00,1499.00,47.65,501.00,501.94,0.94,"rack-2-3,rack-2-6,rack-2-7,rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-4-6"
task-7,completed,3,24.04,619.12,620.00,1695.00,652.57,1075.00,1075.88,0.88,"rack-3-0,rack-3-1,rack-3-2"
task-5,completed,1,46.01,760.71,1209.00,1730.00,295.79,521.00,969.29,448.29,rack-5-0
task-26,completed,1,41.46,1592.62,1730.00,2268.00,215.05,538.00,675.38,137.38,rack-5-0
task-2,completed,14,3.84,418.79,419.00,2286.00,177.71,1867.00,1867.21,0.21,"rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-6,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3"
task-75,completed,1,21.35,1763.64,1764.00,2375.00,244.17,611.00,611.36,0.36,rack-7-6
task-48,completed,4,16.42,807.50,1311.00,2434.00,350.47,1123.00,1626.50,503.50,"rack-5-0,rack-5-1,rack-5-2,rack-5-3"
task-42,completed,3,54.51,127.54,128.00,2593.00,1548.75,2465.00,2465.46,0.46,"rack-3-0,rack-3-1,rack-3-2"
task-88,completed,8,3.37,590.87,591.00,2668.00,355.70,2077.00,2077.13,0.13,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-5,rack-2-6,rack-2-7"
task-1,completed,4,41.25,156.49,157.00,2800.00,1607.00,2643.00,2643.51,0.51,"rack-3-3,rack-3-4,rack-3-5,rack-3-6"
task-57,completed,2,45.38,1051.52,2593.00,2812.00,112.33,219.00,1760.48,1541.48,"rack-3-0,rack-3-1"
task-36,completed,5,9.45,989.65,990.00,2844.00,860.76,1854.00,1854.35,0.35,"rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4"
task-61,completed,2,37.92,1050.61,1356.00,2926.00,760.41,1570.00,1875.39,305.39,"rack-7-4,rack-7-5"
task-24,completed,6,47.94,114.35,115.00,3147.00,765.67,3032.00,3032.65,0.65,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-5"
task-23,completed,3,45.84,275.11,276.00,3239.00,1551.37,2963.00,2963.89,0.89,"rack-7-1,rack-7-2,rack-7-3"
task-14,completed,3,37.33,1312.43,2800.00,3322.00,316.34,522.00,2009.57,1487.57,"rack-3-3,rack-3-4,rack-3-5"
task-45,completed,4,7.62,762.44,763.00,3331.00,781.58,2568.00,2568.56,0.56,"rack-4-0,rack-4-1,rack-4-2,rack-4-3"
task-51,completed,2,39.82,26.56,27.00,3345.00,977.65,3318.00,3318.44,0.44,"rack-0-0,rack-0-1"
task-59,completed,3,36.51,423.37,424.00,3435.00,1218.63,3011.00,3011.63,0.63,"rack-6-6,rack-6-7,rack-7-0"
task-79,completed,5,26.93,656.37,3239.00,3633.00,84.87,394.00,2976.63,2582.63,"rack-2-4,rack-2-5,rack-7-1,rack-7-2,rack-7-3"
task-96,completed,11,38.14,224.33,225.00,3865.00,1197.46,3640.00,3640.67,0.67,"rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5,rack-6-6,rack-6-7,rack-7-0"
task-0,completed,4,3.45,401.78,402.00,3919.00,502.30,3517.00,3517.22,0.22,"rack-0-2,rack-0-3,rack-0-4,rack-0-5"
task-74,completed,2,7.35,498.02,499.00,4028.00,768.20,3529.00,3529.98,0.98,"rack-1-2,rack-1-3"
task-71,completed,4,45.06,507.16,3147.00,4156.00,288.25,1009.00,3648.84,2639.84,"rack-2-0,rack-2-1,rack-2-2,rack-2-3"
task-3,completed,1,34.55,1262.38,1263.00,4235.00,1291.68,2972.00,2972.62,0.62,rack-5-1
task-34,completed,2,15.97,141.76,142.00,4390.00,1025.57,4248.00,4248.24,0.24,"rack-1-0,rack-1-1"
