time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,399.00,0.04,2,0,0
120.00,1121.00,0.18,5,0,0
180.00,2493.00,0.42,10,1,0
240.00,5195.00,0.71,16,0,0
300.00,8741.00,0.76,18,2,0
360.00,12521.00,0.77,19,2,0
420.00,16301.00,0.78,21,2,0
480.00,20081.00,0.83,23,4,0
540.00,23861.00,0.86,25,6,0
600.00,27669.00,0.87,26,8,1
660.00,31509.00,0.94,30,9,1
720.00,35349.00,0.94,30,9,1
780.00,39189.00,0.95,31,13,1
840.00,43029.00,0.93,31,13,2
900.00,46869.00,0.93,31,13,2
960.00,50709.00,0.93,31,16,2
1020.00,54549.00,0.96,33,20,2
1080.00,58389.00,0.96,33,25,2
1140.00,62229.00,0.96,33,27,2
1200.00,66069.00,0.96,33,35,2
1260.00,69909.00,0.96,34,37,2
1320.00,73749.00,0.97,35,40,2
1380.00,77589.00,0.97,35,42,2
1440.00,81429.00,0.97,35,43,2
1500.00,85269.00,0.96,35,45,3
1560.00,89109.00,0.96,37,45,4
1620.00,92949.00,0.97,38,51,4
1680.00,96789.00,0.97,39,53,5
1740.00,100629.00,0.95,39,53,6
1800.00,104469.00,0.97,39,54,7
1860.00,108309.00,0.97,39,54,7
1920.00,112149.00,0.97,39,54,7
1980.00,115989.00,0.97,39,54,7
2040.00,119829.00,0.97,39,54,7
2100.00,123669.00,0.97,39,54,7
2160.00,127509.00,0.97,39,54,7
2220.00,131349.00,0.97,39,54,7
2280.00,135189.00,0.96,39,53,8
2340.00,139029.00,0.95,38,53,9
2400.00,142869.00,0.95,38,52,10
2460.00,146709.00,0.95,38,52,10
2520.00,150549.00,0.95,38,52,10
2580.00,154389.00,0.95,38,52,10
2640.00,158229.00,0.95,38,52,10
2700.00,162069.00,0.95,38,52,10
2760.00,165909.00,0.95,38,51,11
2820.00,169749.00,0.95,39,49,12
2880.00,173589.00,0.95,39,49,12
2940.00,177429.00,0.95,39,49,12
3000.00,181269.00,0.94,39,47,14
3060.00,185109.00,0.95,38,46,16
3120.00,188949.00,0.94,38,45,17
3180.00,192789.00,0.94,38,45,17
3240.00,196629.00,0.93,37,45,18
3300.00,200469.00,0.93,37,45,18
3360.00,204309.00,0.93,36,44,20
3420.00,208149.00,0.93,36,44,20
3480.00,211989.00,0.94,35,43,22
3540.00,215829.00,0.94,35,43,22
3600.00,219669.00,0.94,35,43,22
3660.00,223509.00,0.94,35,43,22
3720.00,227349.00,0.94,34,43,23
3780.00,231189.00,0.94,34,43,23
3840.00,235029.00,0.94,34,43,23
3900.00,238869.00,0.94,34,43,23
3960.00,242709.00,0.92,32,43,25
4020.00,246549.00,0.92,32,43,25
4080.00,250389.00,0.92,32,43,25
4140.00,254229.00,0.93,33,41,26
4200.00,258069.00,0.92,33,40,27
4260.00,261909.00,0.92,33,40,27
4320.00,265749.00,0.92,33,40,27
4380.00,269589.00,0.92,32,40,28
4440.00,273429.00,0.92,32,40,28
4500.00,277269.00,0.92,32,40,28
4560.00,281109.00,0.92,32,40,28
4620.00,284949.00,0.92,33,38,29
4680.00,288789.00,0.92,33,38,29
4740.00,292629.00,0.92,33,38,29
4800.00,296469.00,0.92,33,38,29
4860.00,300309.00,0.92,33,37,30
4920.00,304149.00,0.92,33,37,30
4980.00,307989.00,0.92,33,37,30
5040.00,311829.00,0.92,33,37,30
5100.00,315669.00,0.92,33,37,30
5160.00,319509.00,0.92,33,37,30
5220.00,323349.00,0.92,33,37,30
5280.00,327189.00,0.92,33,37,30
5340.00,331029.00,0.90,32,37,31
5400.00,334869.00,0.90,32,37,31
5460.00,338709.00,0.90,32,37,31
5520.00,342549.00,0.90,32,37,31
5580.00,346389.00,0.94,33,35,32
5640.00,350229.00,0.90,32,35,33
5700.00,354069.00,0.90,32,35,33
5760.00,357909.00,0.90,32,35,33
5820.00,361749.00,0.90,32,35,33
5880.00,365589.00,0.90,32,35,33
5940.00,369429.00,0.90,32,35,33
6000.00,373269.00,0.92,32,35,34
6060.00,377109.00,0.92,32,34,34
6120.00,380949.00,0.93,32,33,35
6180.00,384789.00,0.93,32,33,35
6240.00,388629.00,0.90,31,33,36
6300.00,392469.00,0.90,31,33,36
6360.00,396309.00,0.90,31,33,36
6420.00,400149.00,0.90,31,33,36
6480.00,403989.00,0.90,31,33,36
6540.00,407829.00,0.93,31,32,37
6600.00,411669.00,0.93,31,32,37
6660.00,415509.00,0.93,31,32,37
6720.00,419349.00,0.95,31,31,38
6780.00,423189.00,0.95,31,31,38
6840.00,427029.00,0.94,31,30,39
6900.00,430869.00,0.94,31,30,39
6960.00,434709.00,0.94,31,30,39
7020.00,438549.00,0.94,31,30,39
7080.00,442389.00,0.92,30,30,40
7140.00,446229.00,0.92,30,30,40
7200.00,450069.00,0.92,30,30,40
7260.00,453909.00,0.92,30,30,40
7320.00,457749.00,0.92,30,30,40
7380.00,461589.00,0.92,30,30,40
7440.00,465429.00,0.92,30,30,40
7500.00,469269.00,0.92,30,30,40
7560.00,473109.00,0.92,30,30,40
