time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,0.00,0.00,0,2,0
120.00,0.00,0.00,0,5,0
180.00,0.00,0.00,0,10,0
240.00,39.00,0.01,1,15,0
300.00,99.00,0.01,1,19,0
360.00,159.00,0.01,2,19,0
420.00,219.00,0.01,2,21,0
480.00,279.00,0.01,2,25,0
540.00,339.00,0.01,2,29,0
600.00,399.00,0.01,2,33,0
660.00,459.00,0.01,2,38,0
720.00,519.00,0.01,2,38,0
780.00,599.00,0.02,3,42,0
840.00,719.00,0.02,3,43,0
900.00,839.00,0.02,3,43,0
960.00,959.00,0.02,3,46,0
1020.00,1079.00,0.02,3,52,0
1080.00,1175.00,0.01,2,57,1
1140.00,1235.00,0.01,2,59,1
1200.00,1295.00,0.01,2,67,1
1260.00,1355.00,0.00,2,69,2
1320.00,1415.00,0.01,3,72,2
1380.00,1475.00,0.01,3,74,2
1440.00,1535.00,0.01,3,75,2
1500.00,1595.00,0.01,3,78,2
1560.00,1655.00,0.01,3,81,2
1620.00,1743.00,0.02,4,87,2
1680.00,1866.00,0.03,5,90,2
1740.00,2046.00,0.03,5,91,2
1800.00,2226.00,0.03,6,92,2
1860.00,2354.00,0.02,5,92,3
1920.00,2474.00,0.02,5,92,3
1980.00,2594.00,0.02,5,92,3
2040.00,2936.00,0.06,7,90,3
2100.00,3560.00,0.14,8,89,3
2160.00,4911.00,0.33,14,83,3
2220.00,7217.00,0.64,19,78,3
2280.00,10704.00,0.75,21,76,3
2340.00,14535.00,0.78,22,75,3
2400.00,18375.00,0.78,22,75,3
2460.00,22215.00,0.79,24,73,3
2520.00,26055.00,0.85,27,70,3
2580.00,29895.00,0.86,28,68,4
2640.00,33735.00,0.91,32,64,4
2700.00,37575.00,0.90,31,64,5
2760.00,41415.00,0.90,31,64,5
2820.00,45255.00,0.92,33,62,5
2880.00,49095.00,0.92,33,62,5
2940.00,52935.00,0.92,33,62,5
3000.00,56775.00,0.95,36,59,5
3060.00,60615.00,0.95,36,59,5
3120.00,64455.00,0.95,36,59,5
3180.00,68295.00,0.95,36,59,5
3240.00,72135.00,0.95,36,59,5
3300.00,75940.00,0.94,36,58,6
3360.00,79770.00,0.95,36,57,7
3420.00,83610.00,0.95,36,57,7
3480.00,87450.00,0.95,37,56,7
