time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,399.00,0.04,2,0,0
120.00,1138.00,0.15,5,0,0
180.00,2361.00,0.32,10,1,0
240.00,4537.00,0.54,16,0,0
300.00,7286.00,0.68,20,1,0
360.00,10706.00,0.69,21,0,0
420.00,14126.00,0.69,23,0,0
480.00,17692.00,0.79,27,0,0
540.00,21457.00,0.83,31,0,0
600.00,25297.00,0.86,33,1,1
660.00,29137.00,0.91,38,1,1
720.00,32977.00,0.91,38,1,1
780.00,36817.00,0.93,40,4,1
840.00,40657.00,0.94,41,4,1
900.00,44497.00,0.94,41,4,1
960.00,48337.00,0.94,42,6,1
1020.00,52177.00,0.95,46,7,2
1080.00,56017.00,0.95,46,11,3
1140.00,59857.00,0.95,47,11,4
1200.00,63697.00,0.96,47,18,5
1260.00,67537.00,0.96,48,19,6
1320.00,71377.00,0.96,48,22,7
1380.00,75217.00,0.96,50,21,8
1440.00,79057.00,0.96,50,22,8
1500.00,82897.00,0.96,51,24,8
1560.00,86737.00,0.96,51,26,9
1620.00,90577.00,0.96,51,33,9
1680.00,94417.00,0.96,51,37,9
1740.00,98257.00,0.96,51,36,11
1800.00,102097.00,0.96,51,38,11
1860.00,105937.00,0.96,50,38,12
1920.00,109777.00,0.96,50,38,12
1980.00,113617.00,0.96,50,38,12
2040.00,117457.00,0.96,50,38,12
2100.00,121297.00,0.96,52,34,14
2160.00,125137.00,0.96,52,34,14
2220.00,128977.00,0.95,53,32,15
2280.00,132817.00,0.95,53,32,15
2340.00,136657.00,0.95,53,32,15
2400.00,140497.00,0.95,53,32,15
2460.00,144337.00,0.95,54,30,16
2520.00,148177.00,0.95,54,30,16
2580.00,152017.00,0.95,54,30,16
2640.00,155857.00,0.96,54,29,17
2700.00,159697.00,0.96,54,29,17
2760.00,163537.00,0.96,54,29,17
2820.00,167377.00,0.96,56,24,20
2880.00,171217.00,0.96,56,24,20
2940.00,175057.00,0.96,56,24,20
3000.00,178897.00,0.96,56,23,21
3060.00,182737.00,0.95,56,23,22
3120.00,186577.00,0.96,56,22,22
3180.00,190417.00,0.96,56,22,22
3240.00,194257.00,0.96,56,21,23
3300.00,198097.00,0.96,56,21,23
3360.00,201937.00,0.96,56,21,23
3420.00,205777.00,0.96,56,21,23
3480.00,209617.00,0.96,56,21,23
3540.00,213457.00,0.95,55,21,24
3600.00,217297.00,0.95,55,21,24
3660.00,221137.00,0.95,55,21,24
3720.00,224977.00,0.95,56,19,25
3780.00,228817.00,0.95,56,19,25
3840.00,232657.00,0.95,56,19,25
3900.00,236497.00,0.95,56,18,26
3960.00,240337.00,0.93,53,18,29
4020.00,244177.00,0.93,53,18,29
4080.00,248017.00,0.93,53,18,29
4140.00,251857.00,0.90,53,18,30
4200.00,255697.00,0.93,54,16,30
4260.00,259537.00,0.93,54,16,30
4320.00,263377.00,0.93,54,16,30
4380.00,267217.00,0.93,54,15,31
4440.00,271057.00,0.94,55,13,32
4500.00,274897.00,0.93,54,13,33
4560.00,278737.00,0.93,54,13,33
4620.00,282577.00,0.93,54,13,33
4680.00,286417.00,0.92,55,11,34
4740.00,290257.00,0.92,55,11,34
4800.00,294097.00,0.93,54,10,36
4860.00,297937.00,0.93,54,9,37
4920.00,301777.00,0.90,53,8,39
4980.00,305617.00,0.89,52,7,41
5040.00,309457.00,0.89,52,7,41
5100.00,313297.00,0.89,52,6,42
5160.00,317137.00,0.89,52,6,42
5220.00,320977.00,0.89,52,5,43
5280.00,324817.00,0.87,50,5,45
5340.00,328657.00,0.86,49,5,46
5400.00,332497.00,0.86,49,5,46
5460.00,336337.00,0.86,48,5,47
5520.00,340177.00,0.85,47,5,48
5580.00,344017.00,0.85,46,5,49
5640.00,347857.00,0.85,46,5,49
5700.00,351697.00,0.90,47,2,51
5760.00,355537.00,0.86,46,2,52
5820.00,359377.00,0.86,46,1,53
5880.00,363217.00,0.85,45,1,54
5940.00,367057.00,0.84,45,0,55
6000.00,370897.00,0.80,44,0,56
6060.00,374737.00,0.80,44,0,56
6120.00,378577.00,0.77,43,0,57
6180.00,382345.00,0.74,40,0,60
6240.00,386013.00,0.74,39,0,61
6300.00,389493.00,0.73,38,0,62
6360.00,392973.00,0.73,38,0,62
6420.00,396453.00,0.73,38,0,62
6480.00,399933.00,0.66,37,0,63
6540.00,403413.00,0.63,36,0,64
6600.00,406893.00,0.63,36,0,64
6660.00,410373.00,0.59,35,0,66
6720.00,413793.00,0.59,34,0,66
6780.00,417213.00,0.59,34,0,66
6840.00,420459.00,0.55,33,0,67
6900.00,423699.00,0.55,33,0,67
6960.00,426939.00,0.55,33,0,67
7020.00,430089.00,0.50,32,0,68
7080.00,433029.00,0.50,32,0,68
7140.00,435895.00,0.48,31,0,69
7200.00,438715.00,0.48,31,0,69
7260.00,441535.00,0.48,31,0,69
7320.00,444355.00,0.48,31,0,69
7380.00,447124.00,0.48,30,0,70
7440.00,449884.00,0.48,30,0,70
7500.00,452644.00,0.48,30,0,70
7560.00,455329.00,0.46,29,0,71
