time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,57.00,0.01,2,0,0
120.00,161.00,0.03,5,0,0
180.00,418.00,0.06,10,1,0
240.00,813.00,0.10,16,0,0
300.00,1344.00,0.14,20,1,0
360.00,2064.00,0.14,21,0,0
420.00,2784.00,0.14,23,0,0
480.00,3592.00,0.17,27,0,0
540.00,4477.00,0.20,31,0,0
600.00,5488.00,0.22,35,0,0
660.00,6568.00,0.24,40,0,0
720.00,7648.00,0.24,40,0,0
780.00,8817.00,0.27,45,0,0
840.00,10077.00,0.28,46,0,0
900.00,11337.00,0.28,46,0,0
960.00,12646.00,0.30,49,0,0
1020.00,14081.00,0.33,55,0,0
1080.00,15648.00,0.36,59,0,1
1140.00,17328.00,0.37,61,0,1
1200.00,19187.00,0.43,68,0,2
1260.00,21213.00,0.44,71,0,2
1320.00,23284.00,0.46,74,0,3
1380.00,25439.00,0.46,74,0,5
1440.00,27599.00,0.46,75,0,5
1500.00,29790.00,0.47,77,0,6
1560.00,32031.00,0.49,80,0,6
1620.00,34339.00,0.51,86,0,7
1680.00,36654.00,0.53,89,0,8
1740.00,38994.00,0.54,90,0,8
1800.00,41334.00,0.54,92,0,8
1860.00,43674.00,0.53,90,0,10
1920.00,46014.00,0.53,90,0,10
1980.00,48354.00,0.53,90,0,10
2040.00,50694.00,0.53,90,0,10
2100.00,53034.00,0.52,89,0,11
2160.00,55374.00,0.52,89,0,11
2220.00,57714.00,0.52,89,0,11
2280.00,60054.00,0.52,89,0,11
2340.00,62340.00,0.51,88,0,12
2400.00,64620.00,0.51,88,0,12
2460.00,66900.00,0.50,87,0,13
2520.00,69180.00,0.50,87,0,13
2580.00,71460.00,0.50,86,0,14
2640.00,73740.00,0.50,86,0,14
2700.00,76020.00,0.49,85,0,15
2760.00,78231.00,0.48,83,0,17
2820.00,80352.00,0.45,80,0,20
2880.00,82452.00,0.43,77,0,23
2940.00,84514.00,0.43,76,0,24
3000.00,86554.00,0.43,76,0,24
3060.00,88594.00,0.42,74,0,26
3120.00,90634.00,0.42,74,0,26
3180.00,92674.00,0.42,74,0,26
3240.00,94714.00,0.41,73,0,27
3300.00,96754.00,0.41,72,0,28
3360.00,98794.00,0.41,72,0,28
3420.00,100834.00,0.41,72,0,28
3480.00,102874.00,0.41,72,0,28
3540.00,104914.00,0.41,71,0,29
3600.00,106954.00,0.41,71,0,29
3660.00,108994.00,0.41,71,0,29
3720.00,111034.00,0.40,70,0,30
3780.00,113074.00,0.40,70,0,30
3840.00,115114.00,0.40,70,0,30
3900.00,117154.00,0.40,69,0,31
3960.00,119194.00,0.40,69,0,31
4020.00,121234.00,0.40,69,0,31
4080.00,123274.00,0.40,68,0,32
4140.00,125314.00,0.40,68,0,32
4200.00,127354.00,0.40,68,0,32
4260.00,129394.00,0.39,66,0,34
4320.00,131434.00,0.39,66,0,34
