time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,399.00,0.04,2,0,0
120.00,1121.00,0.18,5,0,0
180.00,2636.00,0.42,10,1,0
240.00,5408.00,0.71,16,0,0
300.00,8954.00,0.76,18,2,0
360.00,12734.00,0.77,19,2,0
420.00,16514.00,0.78,21,2,0
480.00,20294.00,0.83,23,4,0
540.00,24074.00,0.86,25,6,0
600.00,27882.00,0.87,27,7,1
660.00,31722.00,0.91,30,9,1
720.00,35562.00,0.91,30,9,1
780.00,39402.00,0.92,31,13,1
840.00,43242.00,0.92,31,14,1
900.00,47082.00,0.92,31,14,1
960.00,50922.00,0.92,31,17,1
1020.00,54762.00,0.95,34,20,1
1080.00,58602.00,0.95,34,25,1
1140.00,62442.00,0.95,34,27,1
1200.00,66282.00,0.95,34,35,1
1260.00,70122.00,0.94,35,36,2
1320.00,73962.00,0.94,36,38,3
1380.00,77802.00,0.94,37,38,4
1440.00,81642.00,0.94,37,39,4
1500.00,85482.00,0.92,36,41,6
1560.00,89322.00,0.93,37,43,6
1620.00,93162.00,0.94,38,49,6
1680.00,97002.00,0.94,38,53,6
1740.00,100842.00,0.94,38,52,8
1800.00,104682.00,0.95,39,53,8
1860.00,108522.00,0.95,39,53,8
1920.00,112362.00,0.95,39,53,8
1980.00,116202.00,0.95,39,53,8
2040.00,120042.00,0.95,39,53,8
2100.00,123882.00,0.95,39,53,8
2160.00,127722.00,0.95,39,53,8
2220.00,131562.00,0.95,39,53,8
2280.00,135402.00,0.95,39,52,9
2340.00,139242.00,0.94,38,52,10
2400.00,143082.00,0.93,37,52,11
2460.00,146922.00,0.92,36,52,12
2520.00,150762.00,0.92,36,52,12
2580.00,154602.00,0.92,36,52,12
2640.00,158442.00,0.92,37,50,13
2700.00,162282.00,0.95,37,49,14
2760.00,166122.00,0.95,37,49,14
2820.00,169962.00,0.92,36,48,16
2880.00,173802.00,0.94,36,47,17
2940.00,177642.00,0.94,36,46,18
3000.00,181482.00,0.94,36,46,18
3060.00,185322.00,0.94,36,46,18
3120.00,189162.00,0.94,36,46,18
3180.00,193002.00,0.92,36,45,19
3240.00,196842.00,0.92,36,44,20
3300.00,200682.00,0.92,36,44,20
3360.00,204522.00,0.91,34,43,23
3420.00,208362.00,0.91,34,43,23
3480.00,212202.00,0.92,34,42,24
3540.00,216042.00,0.92,34,42,24
3600.00,219882.00,0.92,34,42,24
3660.00,223722.00,0.92,34,41,25
3720.00,227562.00,0.92,34,41,25
3780.00,231402.00,0.92,34,41,25
3840.00,235242.00,0.92,34,41,25
3900.00,239082.00,0.91,35,39,26
3960.00,242922.00,0.90,34,39,27
4020.00,246762.00,0.90,34,39,27
4080.00,250602.00,0.90,33,39,28
4140.00,254442.00,0.90,33,39,28
4200.00,258282.00,0.89,33,38,29
4260.00,262122.00,0.89,32,38,30
4320.00,265962.00,0.89,32,38,30
4380.00,269802.00,0.89,32,38,30
4440.00,273642.00,0.88,31,37,32
4500.00,277482.00,0.88,31,37,32
4560.00,281322.00,0.88,31,37,32
4620.00,285162.00,0.88,31,37,32
4680.00,289002.00,0.88,31,37,32
4740.00,292842.00,0.88,31,37,32
4800.00,296682.00,0.88,31,37,32
4860.00,300522.00,0.88,31,37,32
4920.00,304362.00,0.88,31,37,32
4980.00,308202.00,0.89,31,36,33
5040.00,312042.00,0.89,31,36,33
5100.00,315882.00,0.91,31,36,34
5160.00,319722.00,0.91,31,35,34
5220.00,323562.00,0.90,31,34,35
5280.00,327402.00,0.90,31,34,35
5340.00,331242.00,0.91,31,33,36
5400.00,335082.00,0.91,31,32,37
5460.00,338922.00,0.91,31,32,37
5520.00,342762.00,0.91,31,32,37
5580.00,346602.00,0.91,31,32,37
5640.00,350442.00,0.91,31,32,37
5700.00,354282.00,0.91,31,32,37
5760.00,358122.00,0.91,31,32,37
5820.00,361962.00,0.91,31,32,37
5880.00,365802.00,0.91,31,32,37
5940.00,369642.00,0.91,31,32,37
6000.00,373482.00,0.91,32,30,38
6060.00,377322.00,0.91,32,30,38
6120.00,381162.00,0.88,30,29,41
6180.00,385002.00,0.88,30,29,41
6240.00,388842.00,0.88,30,29,41
6300.00,392682.00,0.88,30,29,41
6360.00,396522.00,0.88,30,29,41
6420.00,400362.00,0.87,29,29,42
6480.00,404202.00,0.87,29,29,42
6540.00,408042.00,0.90,29,28,43
6600.00,411882.00,0.90,29,28,43
6660.00,415722.00,0.90,29,28,43
6720.00,419562.00,0.90,29,28,43
6780.00,423402.00,0.90,29,28,43
6840.00,427242.00,0.88,28,28,44
6900.00,431082.00,0.91,28,27,45
6960.00,434922.00,0.91,28,27,45
7020.00,438762.00,0.91,28,27,45
7080.00,442602.00,0.91,28,27,45
7140.00,446442.00,0.90,27,27,46
7200.00,450282.00,0.90,27,27,46
7260.00,454122.00,0.90,27,27,46
7320.00,457962.00,0.90,27,27,46
7380.00,461802.00,0.90,27,27,46
7440.00,465642.00,0.90,27,27,46
7500.00,469482.00,0.90,27,27,46
7560.00,473322.00,0.90,27,27,46
